Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1712310967,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1712310968,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1712310969,2,,Aggregated,0.000000,0.000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,0,1004.6116150915623,1004.6116150915623,1004.6116150915623,1004.6116150915623,22.0
1712310970,3,,Aggregated,0.000000,0.000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,2,0,361.4367130212486,683.0241640564054,361.4367130212486,1004.6116150915623,22.0
1712310971,4,,Aggregated,0.000000,0.000000,320,360,360,1000,1000,1000,1000,1000,1000,1000,1000,5,0,320.0,376.1734137777239,18.924841890111566,1004.6116150915623,22.0
1712310972,5,,Aggregated,0.500000,0.000000,360,370,400,590,1000,1000,1000,1000,1000,1000,1000,9,0,360.0,363.46473224047156,18.924841890111566,1004.6116150915623,22.0
1712310973,6,,Aggregated,0.666667,0.000000,360,400,590,590,810,1000,1000,1000,1000,1000,1000,11,0,360.0,401.3477955648506,18.924841890111566,1004.6116150915623,22.0
1712310974,7,,Aggregated,1.250000,0.000000,370,400,430,590,810,1000,1000,1000,1000,1000,1000,14,0,360.0,395.55067880012626,18.924841890111566,1004.6116150915623,22.0
1712310975,8,,Aggregated,1.800000,0.000000,370,430,480,580,810,1000,1000,1000,1000,1000,1000,19,1,370.0,395.65640700196747,18.924841890111566,1004.6116150915623,26.157894736842106
1712310976,9,,Aggregated,1.833333,0.000000,340,400,430,480,590,810,1000,1000,1000,1000,1000,25,1,340.0,367.14080420322716,18.924841890111566,1004.6116150915623,25.16
1712310977,10,,Aggregated,2.000000,0.000000,340,400,430,440,590,810,1000,1000,1000,1000,1000,29,1,340.0,364.09468184514293,18.924841890111566,1004.6116150915623,24.724137931034484
1712310978,11,,Aggregated,2.375000,0.125000,350,390,430,440,580,810,1000,1000,1000,1000,1000,36,1,340.0,350.3611324962953,18.924841890111566,1004.6116150915623,24.194444444444443
1712310979,12,,Aggregated,2.777778,0.111111,340,390,430,440,500,590,1000,1000,1000,1000,1000,44,1,330.0,345.43436833932486,18.924841890111566,1004.6116150915623,23.795454545454547
1712310980,13,,Aggregated,2.900000,0.100000,330,390,420,440,530,610,810,1000,1000,1000,1000,53,4,330.0,342.0062685991585,18.924841890111566,1004.6116150915623,27.962264150943398
